AS58819;ARSENETGS-AS-ID PT Arsenet Global Solusi; 0.00 ; f:'0.00%'} ; 0.00
AS23953;SCBDNET-AS-ID PT ARTHA TELEKOMINDO; 0.00 ; f:'0.00%'} ; 0.00
AS131711;ORANGE-ISP-AS-ID PT Global Teknologi Teraindo; 0.00 ; f:'0.00%'} ; 0.00
AS10137;PATRANET-AP Patrakom Internet Service Provider; 0.00 ; f:'0.00%'} ; 0.00
AS133814;SUMATERANET-AS-ID PT Sumatera Global Mediatek; 0.00 ; f:'0.00%'} ; 0.00
AS46048;TRIMEGAH-AS-ID PT Trimegah Securities Tbk; 0.00 ; f:'0.00%'} ; 0.00
AS59158;BLAMBANGAN-AS-ID PT Blambangan Cahaya Timur; 0.00 ; f:'0.00%'} ; 0.00
AS131753;IDNIC-VERD-AS-ID CV. VERD; 0.00 ; f:'0.00%'} ; 0.00
AS38525;NETSOFT-AS-ID Netsoft ; PT; 0.00 ; f:'0.00%'}
AS58481;ASTRA-AS-ID PT. Astra International ; Tbk; 0.00 ; f:'0.00%'}
AS58822;IDNIC-UNESA-AS-ID Universitas Negeri Surabaya; 0.00 ; f:'0.00%'} ; 0.00
AS58498;IBS-AS-ID PT Infrastruktur Bisnis Sejahtera; 0.00 ; f:'0.00%'} ; 0.00
AS24530;POWERNET-AS-ID PT. Power Telecom Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS38165;ADSNET-AS-ID PT. AMBHARA DUTA SHANTI; 0.00 ; f:'0.00%'} ; 0.00
AS63508;JOGJARINGAN-AS-ID PT DINAMIKA MEDIAKOM; 0.00 ; f:'0.00%'} ; 0.00
AS46051;CITRA-AS-ID PT JEMBATAN CITRA NUSANTARA; 0.00 ; f:'0.00%'} ; 0.00
AS131760;IDNIC-PREMIER-OIL-AS-ID Premier oil Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS45707;PRIMELINK-AS-ID Prime Link Communication ; PT; 0.00 ; f:'0.00%'}
AS55668;JABARTELNET-AS-ID PT Jabar Telematika; 0.00 ; f:'0.00%'} ; 0.00
AS24535;ISATNET-AS-ID PT.Insan Sarana Telematika; 0.00 ; f:'0.00%'} ; 0.00
AS17538;CIRCLECOM-AS-ID-AP PT. Circlecom Nusantara Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS45289;INDOTRANS-AS-ID Indotrans Data ; PT; 0.00 ; f:'0.00%'}
AS59276;NOLSPOT-AS-ID PT Jaringan Multimedia Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS55683;IDNIC-ARGONDATA-AS-ID CV Argon Data Interkoneksi; 0.00 ; f:'0.00%'} ; 0.00
AS58553;IDNIC-3DTECH-ID PT 3D Tech; 0.00 ; f:'0.00%'} ; 0.00
AS58488;IDNIC-KKP-AS-ID PUSDATIN KKP; 0.00 ; f:'0.00%'} ; 0.00
AS58476;DJP-AS-ID DIREKTORAT JENDERAL PAJAK; 0.00 ; f:'0.00%'} ; 0.00
AS63878;VICTORYNET-AS-ID PT Victory Network Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS58497;INTEGRA-AS-ID PT Integra Ventura; 0.00 ; f:'0.00%'} ; 0.00
AS38765;ESDM-AS-ID Departemen Energi dan Sumber Daya Mineral; 0.00 ; f:'0.00%'} ; 0.00
AS59131;IDNIC-UNIKA-AS-ID Universitas Katolik Soegijapranata; 0.00 ; f:'0.00%'} ; 0.00
AS131746;PERMANA-AS-ID PT. Medianusa Permana; 0.00 ; f:'0.00%'} ; 0.00
AS55695;UIN-AS-ID Universitas Islam Negeri Sunan Kalijaga Yogyakarta; 0.00 ; f:'0.00%'} ; 0.00
AS63884;IDNIC-STAINKUDUS-AS-ID Sekolah Tinggi Agama Islam Negeri (STAIN) Kudus; 0.00 ; f:'0.00%'} ; 0.00
AS133352;BPMNET-AS-ID PT. Berdikari Prima Mandiri; 0.00 ; f:'0.00%'} ; 0.00
AS23756;PADINET-AS-ID PADINET - Padi Internet; 0.00 ; f:'0.00%'} ; 0.00
AS134451;NME-INDONESIA-AS-AP NewMedia Express Pte Ltd; 0.00 ; f:'0.00%'} ; 0.00
AS133807;IDNIC-BPN-AS-ID Badan Pertanahan Nasional; 0.00 ; f:'0.00%'} ; 0.00
AS131743;IDNIC-GBA-AS-ID PT GNET BIARO AKSES; 0.00 ; f:'0.00%'} ; 0.00
AS18156;BITNET-ID-AP BITNET ISP AS; 0.00 ; f:'0.00%'} ; 0.00
AS10220;SNET-ID-AP PT. Sejahtera  Globalindo; 0.00 ; f:'0.00%'} ; 0.00
AS131757;IDNIC-CYBERK-AS-ID Koperasi PRIMKOKAS; 0.00 ; f:'0.00%'} ; 0.00
AS63882;GPL-AS-ID PT Giga Prima Lestari; 0.00 ; f:'0.00%'} ; 0.00
AS58479;TRISAKTI-AS-ID Trisakti University; 0.00 ; f:'0.00%'} ; 0.00
AS132678;IDNIC-UNEJ-AS-ID Universitas Jember; 0.00 ; f:'0.00%'} ; 0.00
AS17658;PRIMANET-AS PrimaNet - PT. Khasanah Timur Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS18393;JAVA-AS-AP Java Online ; PT.; 0.00 ; f:'0.00%'}
AS46052;EEPIS-AS-ID Politeknik Elektronika Negeri Surabaya; 0.00 ; f:'0.00%'} ; 0.00
AS59139;WIFIKU-AS-ID PT Wifiku Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS45697;UBAYA-AS-ID Universitas Surabaya; 0.00 ; f:'0.00%'} ; 0.00
AS17910;TRIPLEGATE-ID-AP TRIPLEGATE-ASN; 0.00 ; f:'0.00%'} ; 0.00
AS24205;BANKPERMATA-THIS-AS-IDNIC-ID PT. Bank Permata Tbk.; 0.00 ; f:'0.00%'} ; 0.00
AS134635;IDNIC-BANYUWANGIKAB-AS-ID Dinas Perhubungan ; Komunikasi dan Informatika Kabupaten Banyuwangi; 0.00 ; f:'0.00%'}
AS38750;TDS-AS-ID Telemedia Dinamika Sarana ; PT; 0.00 ; f:'0.00%'}
AS59285;IDNIC-LATANSA-AS-ID PT Latansa Teknologi Multimedia; 0.00 ; f:'0.00%'} ; 0.00
AS55685;JLM-AS-ID PT Jala Lintas Media; 0.00 ; f:'0.00%'} ; 0.00
AS17885;JKTXLNET-AS-AP PT Excelcomindo Pratama; 0.00 ; f:'0.00%'} ; 0.00
AS63886;IDNIC-UPNYK-AS-ID Universitas Pembangunan Nasional Veteran Yogyakarta; 0.00 ; f:'0.00%'} ; 0.00
AS133800;IDNIC-BIZNETCLOUDBLOCK-AS-ID PT Biznet Data Center; 0.00 ; f:'0.00%'} ; 0.00
AS9340;INDONET-AS-AP INDO Internet ; PT; 0.00 ; f:'0.00%'}
AS132673;IDNIC-ARANANETWORK-AS-ID PT Arana Teknologi Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS132642;IDNIC-UAD-AS-ID Universitas Ahmad Dahlan; 0.00 ; f:'0.00%'} ; 0.00
AS45722;INTERSATNET-AS-ID Widya Intersat Nusantara ; PT; 0.00 ; f:'0.00%'}
AS4637;ASN-TELSTRA-GLOBAL Telstra Global; 0.00 ; f:'0.00%'} ; 0.00
AS45706;TGG-AS-ID Tele Globe Global ; PT; 0.00 ; f:'0.00%'}
AS133335;IDNIC-PNP-AS-ID Politeknik Negeri Padang; 0.00 ; f:'0.00%'} ; 0.00
AS58369;FIBERNET-AS-AP PT. Fiber Networks Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS131776;IDNIC-LAPAN-AS-ID Lembaga Penerbangan dan Antariksa Nasional (LAPAN); 0.00 ; f:'0.00%'} ; 0.00
AS46023;QUANTUMNET-AS-ID PT Quantum Tera Network; 0.00 ; f:'0.00%'} ; 0.00
AS133816;IDNIC-KLH-AS-ID Kementrian Lingkungan Hidup; 0.00 ; f:'0.00%'} ; 0.00
AS63868;NASIONALONLINE-AS-ID PT Nasional Online; 0.00 ; f:'0.00%'} ; 0.00
AS24524;IDNIC-ID Indonesia Network Information Center; 0.00 ; f:'0.00%'} ; 0.00
AS56253;BTPN-AS-ID PT. Bank Tabungan Pensiunan Nasional Tbk; 0.00 ; f:'0.00%'} ; 0.00
AS38766;BMP-AS-ID PT. Bumi Merbabu Permai; 0.00 ; f:'0.00%'} ; 0.00
AS38773;CIPUTRA-AS-ID CiputraNet; 0.00 ; f:'0.00%'} ; 0.00
AS131726;IDNIC-DISHUBKOMINFO-TEGAL-AS-ID Dishubkominfo Kota Tegal; 0.00 ; f:'0.00%'} ; 0.00
AS55674;PUSKOM-UNY-AS-ID Universitas Negeri Yogyakarta; 0.00 ; f:'0.00%'} ; 0.00
AS59273;KLN-AS-ID PT KOMUNIKASI LINTAS NUSA; 0.00 ; f:'0.00%'} ; 0.00
AS46032;GLOBENET-AS-ID Fastel Sarana Indonesia PT; 0.00 ; f:'0.00%'} ; 0.00
AS45724;MULTIMEDIA-AS-ID Multi Media Access ; PT; 0.00 ; f:'0.00%'}
AS55669;MCS-AS-ID PT. Maxindo Content Solution; 0.00 ; f:'0.00%'} ; 0.00
AS133843;IDNIC-BRI-AS-ID PT Bank Rakyat Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS38755;BPS-AS-ID Biro Statistics; 0.00 ; f:'0.00%'} ; 0.00
AS38758;HYPERNET-AS-ID PT. HIPERNET INDODATA; 0.00 ; f:'0.00%'} ; 0.00
AS131735;IDNIC-TNC-ID PT Telemedia Network Cakrawala; 0.00 ; f:'0.00%'} ; 0.00
AS58474;MANGONET-AS-ID PT. MATRIXNET GLOBAL INDONESIA; 0.00 ; f:'0.00%'} ; 0.00
AS56242;SKI-AS-ID PT SUMBER KONEKSI INDOTELEMATIKA; 0.00 ; f:'0.00%'} ; 0.00
AS133329;MABESAD-AS MABESAD; 0.00 ; f:'0.00%'} ; 0.00
AS133355;; 0.00 ; f:'0.00%'} ; 0.00
AS59155;IDNIC-INETKU-AS-ID PT. Pemuda Berkarya Manunggal; 0.00 ; f:'0.00%'} ; 0.00
AS63495;SMI-AS-ID PT Satelit Multimedia Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS133827;IDNIC-UII-AS-ID UNIVERSITAS ISLAM INDONESIA; 0.00 ; f:'0.00%'} ; 0.00
AS131723;IDNIC-DJBC-ID Kementerian Keuangan Ditjen Bea Cukai; 0.00 ; f:'0.00%'} ; 0.00
AS63876;IDNIC-ISI-AS-ID Institut Seni Indonesia Yogyakarta; 0.00 ; f:'0.00%'} ; 0.00
AS56246;SDI-AS-ID PT Sumber Data Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS63494;INNOVATION-AS-ID PT Inovasi Jaringan Nusantara; 0.00 ; f:'0.00%'} ; 0.00
AS46049;UNDIP-AS-ID Universitas Diponegoro; 0.00 ; f:'0.00%'} ; 0.00
AS38769;BITEK-AS-ID PT. Bit Technology Nusantara; 0.00 ; f:'0.00%'} ; 0.00
AS9422;SOLNET-ID PT SOLNET INDONESIA; 0.00 ; f:'0.00%'} ; 0.00
AS133844;IDNIC-UINSUSKA-AS-ID Universitas Islam Negeri Suska Riau; 0.00 ; f:'0.00%'} ; 0.00
AS56060;SCBDNET-ID Pusat Telekomunikasi  SCBD; 0.00 ; f:'0.00%'} ; 0.00
AS63873;MAGNET-AS-ID PT Mitra Akses Globalindo; 0.00 ; f:'0.00%'} ; 0.00
AS55701;ASNET-AS-ID PT. Usaha Adisanggoro; 0.00 ; f:'0.00%'} ; 0.00
AS45288;CYBER512-AS-ID KOMUNIKA LIMA DUABELAS ; PT; 0.00 ; f:'0.00%'}
AS59280;IDNIC-KAILIGLOBAL-AS-ID PT. Kaili Global; 0.00 ; f:'0.00%'} ; 0.00
AS131734;IDNIC-UINJKT-AS-ID Universitas Islam Negeri Syarif Hidayatullah Jakarta; 0.00 ; f:'0.00%'} ; 0.00
AS55673;LINKNET-IDX-AS-ID Linknet-IDX ASN; 0.00 ; f:'0.00%'} ; 0.00
AS63500;; 0.00 ; f:'0.00%'} ; 0.00
AS58514;SUPERNET-AS-ID PT. Supernet Advance Teknologi; 0.00 ; f:'0.00%'} ; 0.00
AS56237;UNILA-AS-ID Universitas Lampung; 0.00 ; f:'0.00%'} ; 0.00
AS132658;IDNIC-DISKOMINFOPROVSU-AS-ID Dinas Komunikasi dan Informatika Provinsi Sumatera Utara; 0.00 ; f:'0.00%'} ; 0.00
AS38521;PISHON-AS-ID Pishon Wireless Teknologi ; PT; 0.00 ; f:'0.00%'}
AS63862;PASCALNET-AS-ID PT Pascal Solusi Nusantara; 0.00 ; f:'0.00%'} ; 0.00
AS23699;EZNET-AS-ID IP Teknologi Komunikasi ; PT.; 0.00 ; f:'0.00%'}
AS58824;IDNIC-UNIMED-AS-ID Universitas Negeri Medan; 0.00 ; f:'0.00%'} ; 0.00
AS58394;BPK-AS-ID Badan Pemeriksa Keuangan (BPK RI); 0.00 ; f:'0.00%'} ; 0.00
AS55665;STMI-AS-ID PT Sampoerna Telemedia Indonesia; 0.00 ; f:'0.00%'} ; 0.00
AS38148;QIANDRA-AS-ID QIANDRA INFORMATION TECHNOLOGY PT; 0.00 ; f:'0.00%'} ; 0.00
AS58478;PESAT2-AS-AP PT. Pasifik Satelit Nusantara; 0.00 ; f:'0.00%'} ; 0.00
AS131730;IDNIC-SATKOMINDO-AS-ID PT. SATKOMINDO MEDIYASA; 0.00 ; f:'0.00%'} ; 0.00
